Company;Name;Bean Type;Company Location;Origin;percentage;Description;# ingredients;Beans;Sugar;Cacao Butter;Vanilla;Lecithin;Salt
Soma;Three Amigos(Chuao, Wild Bolivia, D.R.);0;Canada;Blend;70;strawberry, cocoa, nutty;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Soma;Tien Giang, Black S., batch VIT60420.0;Trinitario;Canada;Vietnam;70;creamy, honey, blackberry;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Somerville;Hawaiian, Big Island;0;U.S.A.;U.S.A.- Hawaii;70;intense, tannic, choco, earthy;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Somerville;Nicaragua;0;U.S.A.;Nicaragua;70;earthy, dried fruit, complex;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Soul;Dominican Republic;0;Canada;Dominican Republic;70;few grits, sweet, cocoa;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Soul;Ecuador;0;Canada;Ecuador;75;dry, floral, earthy;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Soul;Madagascar;0;Canada;Madagascar;70;tart, sour, basic;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Soul;Papua New Guinea;0;Canada;Papua New Guinea;77;sandy, smokey, fruit, sour;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Soul;Tanzania;0;Canada;Tanzania;80;sticky, mild fruit, brownie;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Soul;Venezuela;0;Canada;Venezuela;75;dry, earthy, roasty;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Spagnvola;AgroCriso Plantation;0;U.S.A.;Dominican Republic;80;fatty, muted strawberry;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Spagnvola;AgroCriso Plantation;0;U.S.A.;Dominican Republic;70;oily, floral, dairy;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Spagnvola;AgroCriso Plantation;0;U.S.A.;Dominican Republic;75;oily, floral;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Spencer;Dominican Republic;0;U.S.A.;Dominican Republic;70;sandy, robust, grapes, malt;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Spencer;Dominican Republic, lot D82R;0;Australia;Dominican Republic;70;spicy, chocolatey;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Spencer;Ecuador;0;U.S.A.;Ecuador;70;floral, astringent;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Spencer;Ecuador, lot E432314L;0;Australia;Ecuador;70;floral, sandy;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Spencer;Madagascar, lot M0403R;0;Australia;Madagascar;70;powdery, cherry, astringent;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Spencer;Malekula Island;Trinitario;Australia;Vanuatu;72;bready, sour milk, fatty;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Spencer;Peru;Trinitario;U.S.A.;Peru;70;floral, earthy, burnt rubber;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Sprungli (Felchlin);Alto Beni;Criollo;Switzerland;Bolivia;70;fatty, mild fruit, off note;Cacao beans, Sugar, Cacao Butter, Lecithin;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE
SRSLY;Dominican Republic;0;U.S.A.;Dominican Republic;70;unrefined, sweet, mild coffee;Cacao beans, Sugar, Lecithin;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE
SRSLY;Dominican Republic;0;U.S.A.;Dominican Republic;84;gritty,intense coffee, metallic;Cacao beans, Sugar, Lecithin;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE
Starchild;Bolivar, Arriba;Nacional;U.S.A.;Ecuador;70;coconut, mild vanilla;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Starchild;Cacao Verapaz;0;U.S.A.;Guatemala;70;dried fruit, coconut, few grits;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Starchild;Hispaniola;0;U.S.A.;Dominican Republic;70;coconut, cocoa, few grits;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Starchild;Rio Tuma;Trinitario;U.S.A.;Nicaragua;70;brownie, few grits, sandy;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Starchild;Sambirano Valley;Trinitario;U.S.A.;Madagascar;70;red fruit, coconut;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Stella (aka Bernrain);Bahia, Agri-Forestal Plantation, 2010;Trinitario;Switzerland;Brazil;68;creamy, vanilla, moldy;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Stella (aka Bernrain);India;0;Switzerland;India;72;peanut butter,vanilla,artificial;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Stone Grindz;Ecuador, Midnight Dark, batch 600414;0;U.S.A.;Ecuador;84;floral, hints of fruit;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Stone Grindz;Ecuador, Twilght Dark, batch 500414;0;U.S.A.;Ecuador;70;oily surface, floral, earthy;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Stone Grindz;Wild Bolivia, batch 260;0;U.S.A.;Bolivia;70;fatty, rubber, off notes;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
StRita Supreme;Samar, East Visayas region;0;U.S.A.;Philippines;65;vanilla, sweet;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
StRita Supreme;Samar, East Visayas region;0;U.S.A.;Philippines;70;dry, sweet, vanilla(n);Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
