Company;Name;Bean Type;Company Location;Origin;percentage;Description;# ingredients;Beans;Sugar;Cacao Butter;Vanilla;Lecithin;Salt
Vicuna;San Francisco de Macoris;0;U.S.A.;Dominican Republic;70;dark berry, roasty;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Videri;Classic, Central and S. America;0;U.S.A.;Blend;70;sweet, fruity, heavy roast;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Videri;Dark, Central and S. America;0;U.S.A.;Blend;90;mellow fruit, tart, mild bitter;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Videri;Dominican Republic;0;U.S.A.;Dominican Republic;90;intense, cocoa, spicy, fruit;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Videri;Mindo;0;U.S.A.;Ecuador;75;spicy, nutmeg, brownie;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Videri;Trinidad;Trinitario;U.S.A.;Trinidad;75;spicy, roasty, acidic, dairy;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Vietcacao (A. Morin);Ben Tre, Mekong Delta, MoCay;Trinitario;France;Vietnam;70;spicy, dairy;Cacao beans, Sugar, Cacao Butter, Lecithin;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE
Vintage Plantations;San Martin;0;U.S.A.;Peru;75;sandy, sweet, nutty;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Vintage Plantations (Tulicorp);Los Rios, Rancho Grande 2004/2007;Nacional;U.S.A.;Ecuador;90;some fruit, strong bitter;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Vintage Plantations (Tulicorp);Los Rios, Rancho Grande 2004/2007;Nacional;U.S.A.;Ecuador;100;bland, mild fruit, strong bitter;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Vintage Plantations (Tulicorp);Los Rios, Rancho Grande 2004/2007;Nacional;U.S.A.;Ecuador;75;cocoa,earthy,very astringent;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Vintage Plantations (Tulicorp);Los Rios, Rancho Grande 2007;Nacional;U.S.A.;Ecuador;65;sticky, cocoa, earthy;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Violet Sky;Cahabon;Trinitario;U.S.A.;Guatemala;77;creamy, cocoa, pungent;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Violet Sky;Cuyagua;Criollo;U.S.A.;Venezuela;77;intense, mild bitter, roasty;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Violet Sky;Moho River Valley;Blend;U.S.A.;Belize;77;mild metallic, brownie, earth;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Violet Sky;Peru;Blend;U.S.A.;Peru;77;chalky, peach, bland;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Violet Sky;Sambirano Valley;Trinitario;U.S.A.;Madagascar;77;intense, tart, sour, raisin;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Vivra;Alto Beni;Trinitario;U.S.A.;Bolivia;70;earthy, vanilla;Cacao beans, Sugar, Cacao Butter, Vanilla, Lecithin;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
Vivra;Dominican Republic;0;U.S.A.;Dominican Republic;70;sweet, simple, cocoa;Cacao beans, Sugar, Cacao Butter, Vanilla, Lecithin;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
Vivra;Ocumare;0;U.S.A.;Venezuela;70;nutty, off notes;Cacao beans, Sugar, Cacao Butter, Vanilla, Lecithin;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
Vivra;Peru;0;U.S.A.;Peru;70;pungent, metallic;Cacao beans, Sugar, Cacao Butter, Vanilla, Lecithin;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
Vivra;Pisa, Adul de Nord;0;U.S.A.;Haiti;70;vanilla, late cocoa notes;Cacao beans, Sugar, Cacao Butter, Vanilla, Lecithin;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
Wellington Chocolate Factory;Conacado;Trinitario;New Zealand;Dominican Republic;70;dry, rich, roasty;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Wellington Chocolate Factory;Piura Blanco, Norandino;0;New Zealand;Peru;70;grapes, pungent;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Wellington Chocolate Factory;Samoa;0;New Zealand;Samoa;77;earthy, roasty;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
White Label;Alto Beni;0;U.S.A.;Bolivia;72;creamy, fruit, poor aftertaste;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
White Label;Kokoa Kamili;0;U.S.A.;Tanzania;68;nuts, fruit, poor aftertaste;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Whittakers;Ghana;Forastero;New Zealand;Ghana;72;sticky, dry, vanilla dominates;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Wilkie's Organic;Amazonas;Criollo;Ireland;Peru;75;light color, grit, metallic;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Wilkie's Organic;Amazonas;Criollo;Ireland;Peru;89;slow develop, bitter, metallic;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Wilkie's Organic;Amazonas w/ nibs;Criollo;Ireland;Peru;75;mild, metallic;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Wilkie's Organic;Tumbes;Criollo;Ireland;Peru;75;sandy, sweet, coffee;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Willie's Cacao;Hacienda Las Trincheras;0;U.K.;Venezuela;72;dry, nutty, cocoa;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Willie's Cacao;Java;0;U.K.;Indonesia;69;smokey, fruity, sour;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Willie's Cacao;Java, Indonesian Black;0;U.K.;Indonesia;100;fruit, strong smoke, bitter;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Willie's Cacao;Los Llanos;0;U.K.;Colombia;88;mild nutty and fruit, savory;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Willie's Cacao;Los Llanos;0;U.K.;Colombia;70;rich cocoa, spicy, cinamon;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Willie's Cacao;Rio Caribe;Trinitario;U.K.;Venezuela;72;creamy, earthy, nutty;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Willie's Cacao;Sambirano;Trinitario;U.K.;Madagascar;71;dry, mild fruit;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Willie's Cacao;San Martin;0;U.K.;Peru;70;sandy, rich, earthy;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Wm;Ghana, 2013, batch 129;0;U.S.A.;Ghana;75;strong malt, choco pudding;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Wm;Guasare, Zulia Prov., 2015, batch 124;0;U.S.A.;Venezuela;74;nutty, rubber;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Wm;Maya Mountain, 2017, batch 255;0;U.S.A.;Belize;68;flat, molasses, creamy;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Wm;Porcelana;0;U.S.A.;Venezuela;70;intense, creamy, nutty;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Wm;Wild Beniano, 2016, batch 128, Heirloom;0;U.S.A.;Bolivia;76;nutty, fig, short length;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Woodblock;Camino Verde P., Balao, Guayas, batch 1;0;U.S.A.;Ecuador;70;intense, bourbon;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Woodblock;Costa Rica;0;U.S.A.;Costa Rica;70;roasty, metallic, coffee;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Woodblock;Ecuador;0;U.S.A.;Ecuador;70;mild fruit, chemical off;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Woodblock;Gran Couva, batch 1;Trinitario;U.S.A.;Trinidad;70;creamy, woody, mild metallic;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Woodblock;La Red;0;U.S.A.;Dominican Republic;70;brownie, fruit, fudge;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Woodblock;Maranon, Cajamarca;Nacional;U.S.A.;Peru;70;sandy, intense, mild nutty;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Woodblock;Ocumare;0;U.S.A.;Venezuela;70;nutty, tart, coffee;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Woodblock;Sambirano, batch 1;Trinitario;U.S.A.;Madagascar;70;melon;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Xocolat;Hispaniola;0;Dominican Republic;Dominican Republic;66;salt noticeable, vanilla;Cacao beans, Sugar, Cacao Butter, Lecithin, Salt;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE
Xocolatisimo;Hacienda San Jose;0;El Salvador;El Salvador;70;nutty, basic cocoa;Cacao beans, Sugar, Cacao Butter, Lecithin;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE
Xocolatisimo;Hacienda San Jose;0;El Salvador;El Salvador;65;overly sweet, dirty;Cacao beans, Sugar, Cacao Butter, Lecithin;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE
Xocolatisimo;Hacienda San Jose;0;El Salvador;El Salvador;75;coarse, sweet, candy, licorice;Cacao beans, Sugar, Cacao Butter, Lecithin;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE
Xocolla;Hispaniola, batch 170104;0;U.S.A.;Dominican Republic;70;spciy, cardamom, off flavor;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Xocolla;Sambirano, batch 170102;0;U.S.A.;Madagascar;70;sour milk, molasses, sweet;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
