Quote;Source
All you need is love. But a little chocolate now and then doesn't hurt.;Charles M. Schulz
There is nothing better than a friend, unless it is a friend with chocolate.;Linda Grayson
Chocolate says 'I'm sorry' so much better than words.;Rachel Vincent
Your hand and your mouth agreed many years ago that, as far as chocolate is concerned, there is no need to involve your brain.;Dave Barry
What you see before you, my friend, is the result of a lifetime of chocolate.;Katharine Hepburn
If there's no chocolate in Heaven, I'm not going.;Jane Seabrook
I was like a chocolate in a box, looking well behaved and perfect in place, all the while harboring a secret center.;Deb Caletti
The 12-step chocolate program: NEVER BE MORE THAN 12 STEPS AWAY FROM CHOCOLATE!;Terry Moore
A little bit of sweetness can drown out a whole lot of bitterness.;Francesco Petrarca
Nice memories are like chocolate: you can't survive on them alone, as they aren't very filling, but they make life sweeter.;Janine Weger
Chocolate is happiness that you can eat.;Ursula Kohaupt
Life is like chocolate: you should enjoy it piece for piece and let it slowly melt on your tongue.;Nina Sandmann
Chocolate is a gift of love to yourself.;Sonja Blumenthal
Life is like a box of chocolates. You never know what you're gonna get.;Forrest Gump
Chocolate is comfort without words.;Ursula Kohaupt.
Don't think that chocolate is a substitute for love! Love is a substitute for chocolate.;Miranda Ingram
True strength is when you can break a bar of chocolate into four pieces with your bare hands – then just eat one.;Judith Viorst
Forget love -- I'd rather fall in chocolate!;Anonymous
Drinking hot chocolate is like drinking kisses.;J.J. Murray
Nuts just take up space where chocolate ought to be.;Anonymous
Either give me more chocolate or leave me alone.;Lisa Swerling & Ralph Lazar
Chocolate is like duct tape. It can fix anything.;Happy Mind Designs
Chocolate is cheaper than therapy and you don't need an appointment.;Anonymous
If the last chocolate on earth came to you for help, would you eat it immediately or wait a few minutes?;Lisa Swerling & Ralph Lazar
We have chocolate in common -- that's enough.;Rachel Hollis
My therapist told me the way to achieve true inner peace is to finish what I start. So far today, I have finished 2 bags of M&M's and a chocolate cake. I feel better already.;Dave Barry
There are four basic food groups: milk chocolate, dark chocolate, white chocolate, and chocolate truffels.;Anonymous
