Name;Street;Number;Postcode;City;Country
Ariqua Denis;Rue Brun;8;5300;Andenne;Belgium
La Cabosse d'Or;Rue la Hutte;13;1474;Ways;Belgium
The Cacao Tree;Brusselsesteenweg;47;3080;Tervuren;Belgium
Calinor;Capronstraat;28;8900;Ieper;Belgium
Calinor;Boterstraat;16;8900;Ieper;Belgium
Van Nueten;Rederskaai;22;8380;Zeebrugge;Belgium
Chocolate Nation;Koningin Astridplein;7;2018;Antwerpen;Belgium
Le Comptoir d’Honoré;Grand-Rue;15;6760;Virton;Belgium
Mi Joya;Klarastraat;2;3080;Tervuren;Belgium
Mike & Becky;Avenue Brugmann;243;1180;Ukkel;Belgium
Legaste;Rue de la Station;65;7090;Braine-Le-Compte;Belgium
Ducobu;Rue de la Station;16;1410;Waterloo;Belgium
Carré Noir;En Neuvice;33;4000;Luik;Belgium
Vanessa Renard Finest Chocolate;Avenue de la Chasse;227;1040;Etterbeek;Belgium
Millisimé;Rue Cockerill;40;4100;Seraing;Belgium
Demaret;Rue de l’Harmonie;22;4800;Verviers;Belgium
Dedrie;Boterweegschaalstraat;1;8630;Veurne;Belgium
Van Dender Chocolates;Robert Dansaertlaan ;17J;1702;Grand-Bigard;Belgium
In Choc;Nassaustraat;15;2000;Antwerpen;Belgium
Centho;Michel Angelolaan ;47;1000;Brussel;Belgium
L' Alchimie du Chocolat;Rue Xavier de Bue;47;1180;Ukkel;Belgium
Jean le Chocolatier;rue de l'Hôtel de Ville;15;6720;Habay-la-Neuve;Belgium
Les Chocolats D'Edouard;Place Albert 1er;36;6820;Florenville;Belgium
Chocolatier Reen;Schoonaardestraat ;56;3078;Kortenberg;Belgium
Neuhaus;Galerie de la Reine ;25-27;1000;Brussel;Belgium
Neuhaus;Postweg ;2;1602;Vlezenbeek;Belgium
Irsi;Baljuwstraat;15;1000;Brussel;Belgium
Irsi;Chaussée de Bruxelles;176;1410;Waterloo;Belgium
Frederic Blondeel;Ganshorenstraat;39;1081;Koekelberg;Belgium
Centho;Veeweidestraat;3;3080;Duisburg;Belgium
Centho;Vekestraat;29;1910;Kampenhout;Belgium
Zuut;Vismarkt;2;3000;Leuven;Belgium
Yuzu;Walpoortstraat;11A;9000;Gent;Belgium
Wittamer;Place du Grand Sablon;6;1000;Brussel;Belgium
Wauters;Ankerstraat;45;9100;Sint-Niklaas;Belgium
Vercruysse;Doorniksewijk;115-117;8500;Kortrijk;Belgium
Marijn Coertjens;Burgstraat;151;9000;Gent;Belgium
Van Hoorebeke;Sint-Baafsplein;15;9000;Gent;Belgium
Van Hoorebeke Cédric;Jan Breydelstraat;1;9000;Gent;Belgium
Van Dender;Chaussée de Louvain;416;1000;Brussel;Belgium
The Chocolate Line;Paleis op de Meir - Meir;50;2000;Antwerpen;Belgium
The Chocolate Line;Simon Stevinplein;19;8000;Brugge;Belgium
The Cacao Project;Bruul;89;2080;Mechelen;Belgium
The Cacao Tree;Av. de la Forêt de Soignes;363;1640;Sint-Genesius-Rode;Belgium
Chocolaterie Sukerbuyc;Katelijnestraat;5;8000;Brugge;Belgium
Soetkin;Mechelsesteenweg;51;2550;Kontich;Belgium
Sigoji;Rue jacquet;2;5580;Rochefort;Belgium
Sigoji;Rue du Commerce;123;5590;Ciney;Belgium
Parfait;Rijselstraat;30;8930;Menen;Belgium
Parfait;Roeselaarsestraat;80;8870;Izegem;Belgium
Les Mac à Oli;Rue de Bruxelles;19;1470;Genappe;Belgium
